Country,Query,Status,Excluding.AMP,Difference.after.excluding.AMP,Match,Streamlined_Match,AMP.Cited,Concordance,ISO,Country.Name,WHO_Region
Algeria,2. What level of government isolates?,No relevant documents identified,Screenshot 2024-09-12 at 1.36.29 PM.png (https://v5.airtableusercontent.com/v3/u/33/33/1727200800000/FeQkwIP1764wpORqzJsRjA/fhJS4Os88ibufMkighnLH1EWj6wQBQkDINClig3fc_32ABc2Ijtn_ZIp-xxXhPjuqEZqaj0KA-yVuSg-v7RX0iCGWGa1e3MmoHRT77QSsYa4aDMU2Sgeo7WAicfXe43gys51LwV5Zl6Ecevt42TJiJ6reKjxhbVOmqnL2Xwy6xNU7cbpdYBtbxZ1NbxABNEs/0MkxbVAZPv4-FJPd0rk9Ig2iTRD-Ug8cEIDrjaEtfUE),Major difference,No - AI misses info found by human,No,checked,No: GAI Misses Information,DZA,Algeria,AFRO
Algeria,3. Isolation enforcement mechanisms?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,DZA,Algeria,AFRO
Algeria,4. Does the law limit isolation to a list?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,DZA,Algeria,AFRO
Algeria,5. Allow for to isolation of contacts?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,DZA,Algeria,AFRO
Algeria,6. What level of government quarantines?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,DZA,Algeria,AFRO
Algeria,7. Quarantine enforcement mechanisms?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,DZA,Algeria,AFRO
Algeria,8. Does the law limit quarantine to a list?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,DZA,Algeria,AFRO
Andorra,1. What law allows the government to isolate?,No relevant documents identified,,,No - AI misses info found by human,No,,No: GAI Misses Information,AND,Andorra,EURO
Andorra,2. What level of government isolates?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,AND,Andorra,EURO
Andorra,3. Isolation enforcement mechanisms?,No relevant documents identified,,,No - AI misses info found by human,No,,No: GAI Misses Information,AND,Andorra,EURO
Andorra,4. Does the law limit isolation to a list?,No relevant documents identified,,,No - AI misses info found by human,No,,No: GAI Misses Information,AND,Andorra,EURO
Andorra,5. Allow for to isolation of contacts?,No relevant documents identified,,,No - AI misses info found by human,No,,No: GAI Misses Information,AND,Andorra,EURO
Andorra,6. What level of government quarantines?,No relevant documents identified,,,No - AI misses info found by human,No,,No: GAI Misses Information,AND,Andorra,EURO
Andorra,7. Quarantine enforcement mechanisms?,No relevant documents identified,,,No - AI misses info found by human,No,,No: GAI Misses Information,AND,Andorra,EURO
Andorra,8. Does the law limit quarantine to a list?,No relevant documents identified,,,No - AI misses info found by human,No,,No: GAI Misses Information,AND,Andorra,EURO
Angola,1. What law allows the government to isolate?,No relevant documents identified,,,No - AI misses info found by human,No,,No: GAI Misses Information,AGO,Angola,AFRO
Angola,2. What level of government isolates?,No relevant documents identified,,,No - AI misses info found by human,No,,No: GAI Misses Information,AGO,Angola,AFRO
Angola,3. Isolation enforcement mechanisms?,New document identified - suggest excluding,,,No - AI misses info found by human,No,,No: GAI Misses Information,AGO,Angola,AFRO
Angola,4. Does the law limit isolation to a list?,No relevant documents identified,,,No - AI misses info found by human,No,,No: GAI Misses Information,AGO,Angola,AFRO
Angola,5. Allow for to isolation of contacts?,No relevant documents identified,,,"Exact match in answer, but no law found",No,,No: GAI Misses Information,AGO,Angola,AFRO
Angola,6. What level of government quarantines?,No relevant documents identified,,,"Exact match in answer, but no law found",No,,No: GAI Misses Information,AGO,Angola,AFRO
Angola,7. Quarantine enforcement mechanisms?,No relevant documents identified,,,No - AI provides additional info missed by human,AI finds something missed or incorrectly interpreted by SME,,No: GAI Provides More Information,AGO,Angola,AFRO
Angola,8. Does the law limit quarantine to a list?,No relevant documents identified,,,No - AI provides wrong info,No,,No: GAI Provides Incorrect Information,AGO,Angola,AFRO
Antigua and Barbuda,1. What law allows the government to isolate?,Identified document(s) already in Airtable,,,No - AI misses info found by human,No,,No: GAI Misses Information,ATG,Antigua and Barbuda,AMRO
Antigua and Barbuda,2. What level of government isolates?,New document identified - suggest excluding,Screenshot 2024-09-12 at 1.38.29 PM.png (https://v5.airtableusercontent.com/v3/u/33/33/1727200800000/wTvO2vYGANkD2FHh3Ggeuw/yp_rLhfaGYf5NpaYuSJfZSjqeSbaqvMHivxQsEW6tFEzqy9VQkminN_R1eCOxyS_D8dD16sHAUPfmWPR-osUf_zzjrCeMb-lmySY3DADaMQJqg3X-0CcrPMH7YFEmYQtBXm3Jn66EXbv43MYX5BDukMj2BVpxQtsm3wrrUxooKSSsRORRPBgSMw8Jvk5YgD4/CNefE6EMY1dP7gNM_aHhLjlGJjOf_FNcEHepUM0nG3g),No major difference,No - AI provides wrong info,No,checked,No: GAI Provides Incorrect Information,ATG,Antigua and Barbuda,AMRO
Antigua and Barbuda,3. Isolation enforcement mechanisms?,New document identified - suggest excluding,Screenshot 2024-09-12 at 1.39.21 PM.png (https://v5.airtableusercontent.com/v3/u/33/33/1727200800000/zrtQnsR2byeMj4LxnRp9zw/GXa-95dLKRhC_WvehZcL2T1PwPQReMpGwOH6qdXLKgKisZXmSc8EjzvFPxWpYIIwZE5gFsQSZD28mDA3ZLvLwLJLDN4lD2yNLv7xM2TsPD0Kp4nXahNc3ISrQksq20fHyDvMxdEdGQnGb4Euh5lGiRwWjCiwviWZjiWiw6l_CWpyHGXnRunPrS16iz3fp3IO/_3s1CEo7E7KZasTLv5MTJhe_ytIe45CRFJ0BtcnDPr8),Major difference,No - AI provides wrong info,No,checked,No: GAI Provides Incorrect Information,ATG,Antigua and Barbuda,AMRO
Antigua and Barbuda,4. Does the law limit isolation to a list?,Identified document(s) already in Airtable,Screenshot 2024-09-12 at 1.40.20 PM.png (https://v5.airtableusercontent.com/v3/u/33/33/1727200800000/eaR5gI72LnFLGr85ozaXbw/kpnf716LpcnnvGyPU5CWZCwGw69KOSylnxChogK4K7fAqmyVxXP9pnddhGAPPG7LvA2TB4z0ZanuBsbK8zlQsEP4bDibuQPbXD-XdOlnpmvdwKZvB0svdxyjczh75HNl8uKCg1QIVgNEBkBbIaRQ478yasx2pk7DUcCI-KQZECH2leEnB0qTyxaEYDubDrrN/5PAh-BU_pX8j9zr2tWqzs5ux7ThHxppWbCPOMqMOcH4),No major difference,Yes,Yes,checked,Yes,ATG,Antigua and Barbuda,AMRO
Antigua and Barbuda,5. Allow for to isolation of contacts?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,ATG,Antigua and Barbuda,AMRO
Antigua and Barbuda,6. What level of government quarantines?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,ATG,Antigua and Barbuda,AMRO
Antigua and Barbuda,7. Quarantine enforcement mechanisms?,Identified document(s) already in Airtable,Screenshot 2024-09-12 at 1.47.05 PM.png (https://v5.airtableusercontent.com/v3/u/33/33/1727200800000/BmgQ0D8o88OHr2qnj0__1Q/0yx458aitkk60eP5CceS3kKDiOrIFEgGR_N_1CFQeFrdnl6utEWTY9gKkS04SMQG2LD0JEKkYQxYBhO4seUd90nGHVn9g5Iov4yUAS4NbH6PhXQEzDSLFE1iT4euXnp8dpe1dk9VtjAErROLkm2EYFaNMcp0Vcoe5YllnHtbIZyclrhSgLgzfsuIdfmQPa4L/s_BMFq7NEQVni6hV63e052yZntnw4UPMXJMecj8G8KY),No major difference,No - AI provides wrong info,No,checked,No: GAI Provides Incorrect Information,ATG,Antigua and Barbuda,AMRO
Antigua and Barbuda,8. Does the law limit quarantine to a list?,Identified document(s) already in Airtable,,,No - AI misses info found by human,No,,No: GAI Misses Information,ATG,Antigua and Barbuda,AMRO
Argentina,1. What law allows the government to isolate?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,ARG,Argentina,AMRO
Argentina,2. What level of government isolates?,Identified document(s) already in Airtable,,,"AI provides correct info, human was entirely wrong",AI finds something missed or incorrectly interpreted by SME,,No: GAI Misses Information,ARG,Argentina,AMRO
Argentina,3. Isolation enforcement mechanisms?,Identified document(s) already in Airtable,,,No - AI provides wrong info,No,,No: GAI Provides Incorrect Information,ARG,Argentina,AMRO
Argentina,4. Does the law limit isolation to a list?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,ARG,Argentina,AMRO
Argentina,5. Allow for to isolation of contacts?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,ARG,Argentina,AMRO
Argentina,6. What level of government quarantines?,Identified document(s) already in Airtable,,,"AI provides correct info, human was entirely wrong",No,,No: GAI Misses Information,ARG,Argentina,AMRO
Argentina,7. Quarantine enforcement mechanisms?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,ARG,Argentina,AMRO
Argentina,8. Does the law limit quarantine to a list?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,ARG,Argentina,AMRO
Armenia,1. What law allows the government to isolate?,Identified document(s) already in Airtable,,,No - AI provides additional info missed by human,AI finds something missed or incorrectly interpreted by SME,,No: GAI Provides More Information,ARM,Armenia,EURO
Armenia,2. What level of government isolates?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,ARM,Armenia,EURO
Armenia,3. Isolation enforcement mechanisms?,Identified document(s) already in Airtable,,,No - AI provides wrong info,No,,No: GAI Provides Incorrect Information,ARM,Armenia,EURO
Armenia,4. Does the law limit isolation to a list?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,ARM,Armenia,EURO
Armenia,5. Allow for to isolation of contacts?,Identified document(s) already in Airtable,,,No - AI provides additional info missed by human,AI finds something missed or incorrectly interpreted by SME,,No: GAI Provides More Information,ARM,Armenia,EURO
Armenia,6. What level of government quarantines?,New document identified - suggest including,,,No - AI provides wrong info,No,,No: GAI Provides Incorrect Information,ARM,Armenia,EURO
Armenia,7. Quarantine enforcement mechanisms?,Identified document(s) already in Airtable,,,No - AI misses info found by human,No,,No: GAI Misses Information,ARM,Armenia,EURO
Armenia,8. Does the law limit quarantine to a list?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,ARM,Armenia,EURO
Australia,1. What law allows the government to isolate?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,AUS,Australia,WPRO
Australia,2. What level of government isolates?,Identified document(s) already in Airtable,,,No - Both AI misses info found by human and human misses info found by AI,AI finds something missed or incorrectly interpreted by SME,,No: GAI Misses Information,AUS,Australia,WPRO
Australia,3. Isolation enforcement mechanisms?,Identified document(s) already in Airtable,,,No - AI provides wrong info,No,,No: GAI Provides Incorrect Information,AUS,Australia,WPRO
Australia,4. Does the law limit isolation to a list?,Identified document(s) already in Airtable,,,No - AI provides wrong info,No,,No: GAI Provides Incorrect Information,AUS,Australia,WPRO
Australia,5. Allow for to isolation of contacts?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,AUS,Australia,WPRO
Australia,6. What level of government quarantines?,Identified document(s) already in Airtable,,,No - Both AI misses info found by human and human misses info found by AI,AI finds something missed or incorrectly interpreted by SME,,No: GAI Misses Information,AUS,Australia,WPRO
Australia,7. Quarantine enforcement mechanisms?,Identified document(s) already in Airtable,,,No - AI provides wrong info,No,,No: GAI Provides Incorrect Information,AUS,Australia,WPRO
Australia,8. Does the law limit quarantine to a list?,Identified document(s) already in Airtable,,,"AI provides correct info, human was entirely wrong",AI finds something missed or incorrectly interpreted by SME,,No: GAI Misses Information,AUS,Australia,WPRO
Austria,1. What law allows the government to isolate?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,AUT,Austria,EURO
Austria,2. What level of government isolates?,Identified document(s) already in Airtable,,,No - AI provides wrong info,No,,No: GAI Provides Incorrect Information,AUT,Austria,EURO
Austria,3. Isolation enforcement mechanisms?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,AUT,Austria,EURO
Austria,4. Does the law limit isolation to a list?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,AUT,Austria,EURO
Austria,5. Allow for to isolation of contacts?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,AUT,Austria,EURO
Austria,6. What level of government quarantines?,Identified document(s) already in Airtable,,,No - AI provides wrong info,No,,No: GAI Provides Incorrect Information,AUT,Austria,EURO
Austria,7. Quarantine enforcement mechanisms?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,AUT,Austria,EURO
Austria,8. Does the law limit quarantine to a list?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,AUT,Austria,EURO
Azerbaijan,1. What law allows the government to isolate?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,AZE,Azerbaijan,EURO
Azerbaijan,2. What level of government isolates?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,AZE,Azerbaijan,EURO
Azerbaijan,3. Isolation enforcement mechanisms?,New document identified - suggest including,,,AI info was not relevant,No,,No: GAI Misses Information,AZE,Azerbaijan,EURO
Azerbaijan,4. Does the law limit isolation to a list?,Identified document(s) already in Airtable,,,No - AI provides wrong info,No,,No: GAI Provides Incorrect Information,AZE,Azerbaijan,EURO
Azerbaijan,5. Allow for to isolation of contacts?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,AZE,Azerbaijan,EURO
Azerbaijan,6. What level of government quarantines?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,AZE,Azerbaijan,EURO
Azerbaijan,7. Quarantine enforcement mechanisms?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,AZE,Azerbaijan,EURO
Azerbaijan,8. Does the law limit quarantine to a list?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,AZE,Azerbaijan,EURO
Bahamas,1. What law allows the government to isolate?,New document identified - suggest including,,,No - AI provides additional info missed by human,AI finds something missed or incorrectly interpreted by SME,,No: GAI Provides More Information,BHS,Bahamas,AMRO
Bahamas,2. What level of government isolates?,New document identified - suggest including,,,Yes,Yes,,Yes,BHS,Bahamas,AMRO
Bahamas,3. Isolation enforcement mechanisms?,New document identified - suggest including,,,Yes,Yes,,Yes,BHS,Bahamas,AMRO
Bahamas,4. Does the law limit isolation to a list?,New document identified - suggest including,,,Yes,Yes,,Yes,BHS,Bahamas,AMRO
Bahamas,5. Allow for to isolation of contacts?,New document identified - suggest including,,,Yes,Yes,,Yes,BHS,Bahamas,AMRO
Bahamas,6. What level of government quarantines?,New document identified - suggest including,,,Yes,Yes,,Yes,BHS,Bahamas,AMRO
Bahamas,7. Quarantine enforcement mechanisms?,New document identified - suggest including,,,Yes,Yes,,Yes,BHS,Bahamas,AMRO
Bahamas,8. Does the law limit quarantine to a list?,New document identified - suggest including,,,Yes,Yes,,Yes,BHS,Bahamas,AMRO
Bahrain,1. What law allows the government to isolate?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,BHR,Bahrain,EMRO
Bahrain,2. What level of government isolates?,Identified document(s) already in Airtable,Screenshot 2024-09-13 at 10.53.41 AM.png (https://v5.airtableusercontent.com/v3/u/33/33/1727200800000/PT2e7giQa2t_qGFYgXZghw/tbjhlRSd2iBSl6Oyv9hZlsyKU1JQMFloYlQ3IfJkz_henDUbpzZXDb6z8KGsQFLe-tJQ111GfwwljDJ4DNc368kNVVQzp1eEs3m02eR-ekPI-BotlppbEdSJ3nwFJ2f2I1O-MazFBy7vqsKAzlcrpqoSpEhTJ-wmcWtEFrtuwnddQZE3P8B8GJ3N9N06J5nq/-pQAg-Jli-fkGxNKxCsd0lv78Ao6y_AuES4x1T-4noA),No major difference,Yes,Yes,checked,Yes,BHR,Bahrain,EMRO
Bahrain,3. Isolation enforcement mechanisms?,Identified document(s) already in Airtable,Screenshot 2024-09-13 at 10.52.00 AM.png (https://v5.airtableusercontent.com/v3/u/33/33/1727200800000/6kEPHWmze6aivDZ9ADL3cw/jqPepfh3Th1YoY2tHe9Hye_oS-yk9b3XfV8SL5WMSYhBoAB__2lJkTxPIuww_Aoc7Cmt2MT48BL8PSIi8GvQmweNgqHO6pOE8hFm59EquEes3qk6mjR0KjCSoJnYqo5o4zXLy1LIB5RWFUQFvtfNFLplR53yLs3c1MTXNgajJw55vwS6Goajn_hhPZ_ZeNlg/FN0DdDBdCtpqEuOBE5Detq2d1nSmJ9OKh9f85gDgO8Y),No major difference,Yes,Yes,checked,Yes,BHR,Bahrain,EMRO
Bahrain,4. Does the law limit isolation to a list?,Identified document(s) already in Airtable,Screenshot 2024-09-13 at 10.52.45 AM.png (https://v5.airtableusercontent.com/v3/u/33/33/1727200800000/NSZ4RlSlPpkVVNYjCG4IJg/EJJY1iv-1xW3HeuPJ8rNxkjWl2fegGSCUwtQHUVRXRn7PoCt508DHqGNY69PxmyzKrh9pPvXBIDI55AHOAO__qlFZbw1sjiToPlOUA1Epd-zHfkWOlXTh3g5SGUknMsrVC6tLcAkC1Tg0NIy49TFq_0XhRy1WPFZNdFAvCivAwDIUozTOPHdc-KKibY1va61/sRScaD0FnoJy7zEs3PPKjDQT3yvIPUYGYGKwgcQ8dCc),No major difference,No - AI provides wrong info,No,checked,No: GAI Provides Incorrect Information,BHR,Bahrain,EMRO
Bahrain,5. Allow for to isolation of contacts?,Identified document(s) already in Airtable,Screenshot 2024-09-13 at 10.54.40 AM.png (https://v5.airtableusercontent.com/v3/u/33/33/1727200800000/CYBYXnuZnIb5xLWmiGo85g/cgx-frMc-8nfb4iblM5LUhxWKffNsGCov8ZJCtJCmzUSue_p-SL_Vy7X2XDeyHcUlJd3kbe94Q4VoB8Wqvj6b4umSDlxdnWjNA5OkuXmvZkF7UkuGEQEz8y0wiAMhqkv5tPHznr8bfPpXPZt67P-HtNJ4SAkUODqCchl0JQgNZvkeW-gIZfmGn1AcSWibsuF/p0DjlQ81zi_IVOoVHgz8V91wsnUrzRqpsNGwlc6xPI4),No major difference,"AI provides correct info, human was entirely wrong",AI finds something missed or incorrectly interpreted by SME,checked,No: GAI Misses Information,BHR,Bahrain,EMRO
Bahrain,6. What level of government quarantines?,Identified document(s) already in Airtable,Screenshot 2024-09-13 at 10.55.23 AM.png (https://v5.airtableusercontent.com/v3/u/33/33/1727200800000/_RH_NQcscmfPW9biCkMKFA/vtoubb4eHd-BaucXA6zmP6l_936Xyrlm_swcubcZv-gYUWgvxwSZg0P7jnH2EcKv5LfOaq5n7aO9JSKAVDVYBstoK2h9JKybLy30RZnhBXH_ny0LfhxF2xZ8PfAnTODNP34gJsECkS1P3giDXnaH5bADuF_wJaP29v8p3YOZ5OUHuWkMwWTZAhqv4b0IzItf/RXsyfsOjIxUax2C4IpMcKIxmgrAbeTruO3CvIMVUjvM),No major difference,Yes,Yes,checked,Yes,BHR,Bahrain,EMRO
Bahrain,7. Quarantine enforcement mechanisms?,Identified document(s) already in Airtable,,,"AI provides correct info, human was entirely wrong",AI finds something missed or incorrectly interpreted by SME,,No: GAI Misses Information,BHR,Bahrain,EMRO
Bahrain,8. Does the law limit quarantine to a list?,Identified document(s) already in Airtable,,,"AI provides correct info, human was entirely wrong",AI finds something missed or incorrectly interpreted by SME,,No: GAI Misses Information,BHR,Bahrain,EMRO
Bangladesh,1. What law allows the government to isolate?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,BGD,Bangladesh,SEARO
Bangladesh,2. What level of government isolates?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,BGD,Bangladesh,SEARO
Bangladesh,3. Isolation enforcement mechanisms?,New document identified - suggest excluding,Screenshot 2024-09-13 at 10.57.57 AM.png (https://v5.airtableusercontent.com/v3/u/33/33/1727200800000/eSzilY2G9haeyC46Z147bg/ADSIaeyEE8kPKIudlMMiwhDrDrQwoA4LQdWIuyDJa5Kk8r6CsR7x9li24o67Cb1IgzEKV426GDgtBIgcl474EbMcIj1SoSSqdFPycn2_KVFqAisTna_RsXZrKoMHcHcw9UGusNg3RhAGRHV0KS0y8-GgHfj3mgBx6N9yQp0Ud2iqG3wD1Oy0xeFGClMsHtbd/voaWNeQM5sW_Um2tgCDz3GfZCxS2dmYYAEPg7Cvxlks),No major difference,Yes,Yes,checked,Yes,BGD,Bangladesh,SEARO
Bangladesh,4. Does the law limit isolation to a list?,Identified document(s) already in Airtable,Screenshot 2024-09-13 at 10.58.40 AM.png (https://v5.airtableusercontent.com/v3/u/33/33/1727200800000/PfWhRJsrLSgtzUumLOOGYg/ljEOIMOGnoLRf2yDHK1oKviDTQ3iw0K2ava3vEX2Yh3obB8CK4HqQQfP4OZeM394XVojjBihuQEqgYA83_qeltrHb95ZqVn0RP6RgTcbUPBxhn33CGkiNt9ABBQcbGcvsq34pYzbt2-BlKNWFy-t-EIWiWSVp6SSjKPE1rxEY7RSQ46mnfxq7P7NEtgEEgUc/OyhQFkIxK0PkMGsTq8YIXNoQ_RJV3bS7jLNy73IWQVU),No major difference,Yes,Yes,checked,Yes,BGD,Bangladesh,SEARO
Bangladesh,5. Allow for to isolation of contacts?,Identified document(s) already in Airtable,Screenshot 2024-09-13 at 10.59.32 AM.png (https://v5.airtableusercontent.com/v3/u/33/33/1727200800000/0e0jKkC1WYx9wRu7lBDo5Q/qCaTsXk28-Vf3hyHCqyaBM_tj1OWA78zLvkWQ_YLB0vs4WLuaIScGYl3T-bmmxABHz5TT2MgzAZTSXUro5cMM9t0pBO7UAR8YdMcaJZMTCuz24TT7_VpahCy7U-Wke_-hXY6stX_9ET7uUpCYI7GZxQpDUopclA3sqd9WNXEoTMnsng4Mglsioc6LAaKIW3B/ybg75GK8oF9sjuQhtS-djqSl6Jmzv5MS7x6G3TRL06k),No major difference,Yes,Yes,checked,Yes,BGD,Bangladesh,SEARO
Bangladesh,6. What level of government quarantines?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,BGD,Bangladesh,SEARO
Bangladesh,7. Quarantine enforcement mechanisms?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,BGD,Bangladesh,SEARO
Bangladesh,8. Does the law limit quarantine to a list?,Identified document(s) already in Airtable,Screenshot 2024-09-13 at 11.00.33 AM.png (https://v5.airtableusercontent.com/v3/u/33/33/1727200800000/XYoz-1ozD3zOaUa_-66S_Q/E1e5R8WQbz3NAVdCJ25qmGXSsxGkwDClKl-4LSCideDLj8_HDNKtKnWZdGUxGz-74vpqmmkBz5omJEzB5bB9FqZCgBgGg4FKH6Bxprivhb2GghgT1gFlG-0vZ3lm1X8wGN8AJ9PN0WTtdbrDUHzQylRLH8GbHfELq8Mq2lWIQWgyZ885FJ3f_HIbG1uhAxW1/4NtG6eY60IQkOpBJYoy8WvcSkdH8kNMAk_JmgCcNn3k),No major difference,Yes,Yes,checked,Yes,BGD,Bangladesh,SEARO
Barbados,1. What law allows the government to isolate?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,BRB,Barbados,AMRO
Barbados,2. What level of government isolates?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,BRB,Barbados,AMRO
Barbados,3. Isolation enforcement mechanisms?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,BRB,Barbados,AMRO
Barbados,4. Does the law limit isolation to a list?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,BRB,Barbados,AMRO
Barbados,5. Allow for to isolation of contacts?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,BRB,Barbados,AMRO
Barbados,6. What level of government quarantines?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,BRB,Barbados,AMRO
Barbados,7. Quarantine enforcement mechanisms?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,BRB,Barbados,AMRO
Barbados,8. Does the law limit quarantine to a list?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,BRB,Barbados,AMRO
Belarus,1. What law allows the government to isolate?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,BLR,Belarus,EURO
Belarus,2. What level of government isolates?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,BLR,Belarus,EURO
Belarus,3. Isolation enforcement mechanisms?,Identified document(s) already in Airtable,,,"AI provides correct info, human was entirely wrong",AI finds something missed or incorrectly interpreted by SME,,No: GAI Misses Information,BLR,Belarus,EURO
Belarus,4. Does the law limit isolation to a list?,Identified document(s) already in Airtable,,,No - AI provides wrong info,No,,No: GAI Provides Incorrect Information,BLR,Belarus,EURO
Belarus,5. Allow for to isolation of contacts?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,BLR,Belarus,EURO
Belarus,6. What level of government quarantines?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,BLR,Belarus,EURO
