Country,Query,Status,Excluding AMP,Difference after excluding AMP,Match,Streamlined_Match,AMP Cited
Antigua and Barbuda,3. Isolation enforcement mechanisms?,New document identified - suggest excluding,Screenshot 2024-09-12 at 1.39.21 PM.png (https://v5.airtableusercontent.com/v3/u/33/33/1727200800000/zrtQnsR2byeMj4LxnRp9zw/GXa-95dLKRhC_WvehZcL2T1PwPQReMpGwOH6qdXLKgKisZXmSc8EjzvFPxWpYIIwZE5gFsQSZD28mDA3ZLvLwLJLDN4lD2yNLv7xM2TsPD0Kp4nXahNc3ISrQksq20fHyDvMxdEdGQnGb4Euh5lGiRwWjCiwviWZjiWiw6l_CWpyHGXnRunPrS16iz3fp3IO/_3s1CEo7E7KZasTLv5MTJhe_ytIe45CRFJ0BtcnDPr8),Major difference,No - AI provides wrong info,No,checked
Antigua and Barbuda,4. Does the law limit isolation to a list?,Identified document(s) already in Airtable,Screenshot 2024-09-12 at 1.40.20 PM.png (https://v5.airtableusercontent.com/v3/u/33/33/1727200800000/eaR5gI72LnFLGr85ozaXbw/kpnf716LpcnnvGyPU5CWZCwGw69KOSylnxChogK4K7fAqmyVxXP9pnddhGAPPG7LvA2TB4z0ZanuBsbK8zlQsEP4bDibuQPbXD-XdOlnpmvdwKZvB0svdxyjczh75HNl8uKCg1QIVgNEBkBbIaRQ478yasx2pk7DUcCI-KQZECH2leEnB0qTyxaEYDubDrrN/5PAh-BU_pX8j9zr2tWqzs5ux7ThHxppWbCPOMqMOcH4),No major difference,Yes,Yes,checked
Antigua and Barbuda,5. Allow for to isolation of contacts?,Identified document(s) already in Airtable,,,Yes,Yes,
Antigua and Barbuda,6. What level of government quarantines?,Identified document(s) already in Airtable,,,Yes,Yes,
Antigua and Barbuda,7. Quarantine enforcement mechanisms?,Identified document(s) already in Airtable,Screenshot 2024-09-12 at 1.47.05 PM.png (https://v5.airtableusercontent.com/v3/u/33/33/1727200800000/BmgQ0D8o88OHr2qnj0__1Q/0yx458aitkk60eP5CceS3kKDiOrIFEgGR_N_1CFQeFrdnl6utEWTY9gKkS04SMQG2LD0JEKkYQxYBhO4seUd90nGHVn9g5Iov4yUAS4NbH6PhXQEzDSLFE1iT4euXnp8dpe1dk9VtjAErROLkm2EYFaNMcp0Vcoe5YllnHtbIZyclrhSgLgzfsuIdfmQPa4L/s_BMFq7NEQVni6hV63e052yZntnw4UPMXJMecj8G8KY),No major difference,No - AI provides wrong info,No,checked
Antigua and Barbuda,8. Does the law limit quarantine to a list?,Identified document(s) already in Airtable,,,No - AI misses info found by human,No,
Argentina,1. What law allows the government to isolate?,Identified document(s) already in Airtable,,,Yes,Yes,
Argentina,2. What level of government isolates?,Identified document(s) already in Airtable,,,"AI provides correct info, human was entirely wrong",AI finds something missed or incorrectly interpreted by SME,
Argentina,3. Isolation enforcement mechanisms?,Identified document(s) already in Airtable,,,No - AI provides wrong info,No,
Argentina,4. Does the law limit isolation to a list?,Identified document(s) already in Airtable,,,Yes,Yes,
Argentina,5. Allow for to isolation of contacts?,Identified document(s) already in Airtable,,,Yes,Yes,
Argentina,6. What level of government quarantines?,Identified document(s) already in Airtable,,,"AI provides correct info, human was entirely wrong",No,
Argentina,7. Quarantine enforcement mechanisms?,Identified document(s) already in Airtable,,,Yes,Yes,
Argentina,8. Does the law limit quarantine to a list?,Identified document(s) already in Airtable,,,Yes,Yes,
Armenia,1. What law allows the government to isolate?,Identified document(s) already in Airtable,,,No - AI provides additional info missed by human,AI finds something missed or incorrectly interpreted by SME,
Armenia,2. What level of government isolates?,Identified document(s) already in Airtable,,,Yes,Yes,
Armenia,3. Isolation enforcement mechanisms?,Identified document(s) already in Airtable,,,No - AI provides wrong info,No,
Armenia,4. Does the law limit isolation to a list?,Identified document(s) already in Airtable,,,Yes,Yes,
Armenia,5. Allow for to isolation of contacts?,Identified document(s) already in Airtable,,,No - AI provides additional info missed by human,AI finds something missed or incorrectly interpreted by SME,
Armenia,6. What level of government quarantines?,New document identified - suggest including,,,No - AI provides wrong info,No,
Armenia,7. Quarantine enforcement mechanisms?,Identified document(s) already in Airtable,,,No - AI misses info found by human,No,
Armenia,8. Does the law limit quarantine to a list?,Identified document(s) already in Airtable,,,Yes,Yes,
Australia,1. What law allows the government to isolate?,Identified document(s) already in Airtable,,,Yes,Yes,
Australia,2. What level of government isolates?,Identified document(s) already in Airtable,,,No - Both AI misses info found by human and human misses info found by AI,AI finds something missed or incorrectly interpreted by SME,
Australia,3. Isolation enforcement mechanisms?,Identified document(s) already in Airtable,,,No - AI provides wrong info,No,
Australia,4. Does the law limit isolation to a list?,Identified document(s) already in Airtable,,,No - AI provides wrong info,No,
Australia,5. Allow for to isolation of contacts?,Identified document(s) already in Airtable,,,Yes,Yes,
Australia,6. What level of government quarantines?,Identified document(s) already in Airtable,,,No - Both AI misses info found by human and human misses info found by AI,AI finds something missed or incorrectly interpreted by SME,
Australia,7. Quarantine enforcement mechanisms?,Identified document(s) already in Airtable,,,No - AI provides wrong info,No,
Australia,8. Does the law limit quarantine to a list?,Identified document(s) already in Airtable,,,"AI provides correct info, human was entirely wrong",AI finds something missed or incorrectly interpreted by SME,
Austria,1. What law allows the government to isolate?,Identified document(s) already in Airtable,,,Yes,Yes,
Austria,2. What level of government isolates?,Identified document(s) already in Airtable,,,No - AI provides wrong info,No,
Austria,3. Isolation enforcement mechanisms?,Identified document(s) already in Airtable,,,Yes,Yes,
Austria,4. Does the law limit isolation to a list?,Identified document(s) already in Airtable,,,Yes,Yes,
Austria,5. Allow for to isolation of contacts?,Identified document(s) already in Airtable,,,Yes,Yes,
Austria,6. What level of government quarantines?,Identified document(s) already in Airtable,,,No - AI provides wrong info,No,
Austria,7. Quarantine enforcement mechanisms?,Identified document(s) already in Airtable,,,Yes,Yes,
Austria,8. Does the law limit quarantine to a list?,Identified document(s) already in Airtable,,,Yes,Yes,
Azerbaijan,1. What law allows the government to isolate?,Identified document(s) already in Airtable,,,Yes,Yes,
Azerbaijan,2. What level of government isolates?,Identified document(s) already in Airtable,,,Yes,Yes,
Azerbaijan,3. Isolation enforcement mechanisms?,New document identified - suggest including,,,AI info was not relevant,No,
Azerbaijan,4. Does the law limit isolation to a list?,Identified document(s) already in Airtable,,,No - AI provides wrong info,No,
Azerbaijan,5. Allow for to isolation of contacts?,Identified document(s) already in Airtable,,,Yes,Yes,
Azerbaijan,6. What level of government quarantines?,Identified document(s) already in Airtable,,,Yes,Yes,
Azerbaijan,7. Quarantine enforcement mechanisms?,Identified document(s) already in Airtable,,,Yes,Yes,
Azerbaijan,8. Does the law limit quarantine to a list?,Identified document(s) already in Airtable,,,Yes,Yes,
Bahamas,1. What law allows the government to isolate?,New document identified - suggest including,,,No - AI provides additional info missed by human,AI finds something missed or incorrectly interpreted by SME,
Bahamas,2. What level of government isolates?,New document identified - suggest including,,,Yes,Yes,
Bahamas,3. Isolation enforcement mechanisms?,New document identified - suggest including,,,Yes,Yes,
Bahamas,4. Does the law limit isolation to a list?,New document identified - suggest including,,,Yes,Yes,
Bahamas,5. Allow for to isolation of contacts?,New document identified - suggest including,,,Yes,Yes,
Bahamas,6. What level of government quarantines?,New document identified - suggest including,,,Yes,Yes,
Bahamas,7. Quarantine enforcement mechanisms?,New document identified - suggest including,,,Yes,Yes,
Bahamas,8. Does the law limit quarantine to a list?,New document identified - suggest including,,,Yes,Yes,
Bahrain,1. What law allows the government to isolate?,Identified document(s) already in Airtable,,,Yes,Yes,
Bahrain,2. What level of government isolates?,Identified document(s) already in Airtable,Screenshot 2024-09-13 at 10.53.41 AM.png (https://v5.airtableusercontent.com/v3/u/33/33/1727200800000/PT2e7giQa2t_qGFYgXZghw/tbjhlRSd2iBSl6Oyv9hZlsyKU1JQMFloYlQ3IfJkz_henDUbpzZXDb6z8KGsQFLe-tJQ111GfwwljDJ4DNc368kNVVQzp1eEs3m02eR-ekPI-BotlppbEdSJ3nwFJ2f2I1O-MazFBy7vqsKAzlcrpqoSpEhTJ-wmcWtEFrtuwnddQZE3P8B8GJ3N9N06J5nq/-pQAg-Jli-fkGxNKxCsd0lv78Ao6y_AuES4x1T-4noA),No major difference,Yes,Yes,checked
Bahrain,3. Isolation enforcement mechanisms?,Identified document(s) already in Airtable,Screenshot 2024-09-13 at 10.52.00 AM.png (https://v5.airtableusercontent.com/v3/u/33/33/1727200800000/6kEPHWmze6aivDZ9ADL3cw/jqPepfh3Th1YoY2tHe9Hye_oS-yk9b3XfV8SL5WMSYhBoAB__2lJkTxPIuww_Aoc7Cmt2MT48BL8PSIi8GvQmweNgqHO6pOE8hFm59EquEes3qk6mjR0KjCSoJnYqo5o4zXLy1LIB5RWFUQFvtfNFLplR53yLs3c1MTXNgajJw55vwS6Goajn_hhPZ_ZeNlg/FN0DdDBdCtpqEuOBE5Detq2d1nSmJ9OKh9f85gDgO8Y),No major difference,Yes,Yes,checked
Bahrain,4. Does the law limit isolation to a list?,Identified document(s) already in Airtable,Screenshot 2024-09-13 at 10.52.45 AM.png (https://v5.airtableusercontent.com/v3/u/33/33/1727200800000/NSZ4RlSlPpkVVNYjCG4IJg/EJJY1iv-1xW3HeuPJ8rNxkjWl2fegGSCUwtQHUVRXRn7PoCt508DHqGNY69PxmyzKrh9pPvXBIDI55AHOAO__qlFZbw1sjiToPlOUA1Epd-zHfkWOlXTh3g5SGUknMsrVC6tLcAkC1Tg0NIy49TFq_0XhRy1WPFZNdFAvCivAwDIUozTOPHdc-KKibY1va61/sRScaD0FnoJy7zEs3PPKjDQT3yvIPUYGYGKwgcQ8dCc),No major difference,No - AI provides wrong info,No,checked
Bahrain,5. Allow for to isolation of contacts?,Identified document(s) already in Airtable,Screenshot 2024-09-13 at 10.54.40 AM.png (https://v5.airtableusercontent.com/v3/u/33/33/1727200800000/CYBYXnuZnIb5xLWmiGo85g/cgx-frMc-8nfb4iblM5LUhxWKffNsGCov8ZJCtJCmzUSue_p-SL_Vy7X2XDeyHcUlJd3kbe94Q4VoB8Wqvj6b4umSDlxdnWjNA5OkuXmvZkF7UkuGEQEz8y0wiAMhqkv5tPHznr8bfPpXPZt67P-HtNJ4SAkUODqCchl0JQgNZvkeW-gIZfmGn1AcSWibsuF/p0DjlQ81zi_IVOoVHgz8V91wsnUrzRqpsNGwlc6xPI4),No major difference,"AI provides correct info, human was entirely wrong",AI finds something missed or incorrectly interpreted by SME,checked
Bahrain,6. What level of government quarantines?,Identified document(s) already in Airtable,Screenshot 2024-09-13 at 10.55.23 AM.png (https://v5.airtableusercontent.com/v3/u/33/33/1727200800000/_RH_NQcscmfPW9biCkMKFA/vtoubb4eHd-BaucXA6zmP6l_936Xyrlm_swcubcZv-gYUWgvxwSZg0P7jnH2EcKv5LfOaq5n7aO9JSKAVDVYBstoK2h9JKybLy30RZnhBXH_ny0LfhxF2xZ8PfAnTODNP34gJsECkS1P3giDXnaH5bADuF_wJaP29v8p3YOZ5OUHuWkMwWTZAhqv4b0IzItf/RXsyfsOjIxUax2C4IpMcKIxmgrAbeTruO3CvIMVUjvM),No major difference,Yes,Yes,checked
Bahrain,7. Quarantine enforcement mechanisms?,Identified document(s) already in Airtable,,,"AI provides correct info, human was entirely wrong",AI finds something missed or incorrectly interpreted by SME,
Bahrain,8. Does the law limit quarantine to a list?,Identified document(s) already in Airtable,,,"AI provides correct info, human was entirely wrong",AI finds something missed or incorrectly interpreted by SME,
Bangladesh,1. What law allows the government to isolate?,Identified document(s) already in Airtable,,,Yes,Yes,
Bangladesh,2. What level of government isolates?,Identified document(s) already in Airtable,,,Yes,Yes,
Bangladesh,3. Isolation enforcement mechanisms?,New document identified - suggest excluding,Screenshot 2024-09-13 at 10.57.57 AM.png (https://v5.airtableusercontent.com/v3/u/33/33/1727200800000/eSzilY2G9haeyC46Z147bg/ADSIaeyEE8kPKIudlMMiwhDrDrQwoA4LQdWIuyDJa5Kk8r6CsR7x9li24o67Cb1IgzEKV426GDgtBIgcl474EbMcIj1SoSSqdFPycn2_KVFqAisTna_RsXZrKoMHcHcw9UGusNg3RhAGRHV0KS0y8-GgHfj3mgBx6N9yQp0Ud2iqG3wD1Oy0xeFGClMsHtbd/voaWNeQM5sW_Um2tgCDz3GfZCxS2dmYYAEPg7Cvxlks),No major difference,Yes,Yes,checked
Bangladesh,4. Does the law limit isolation to a list?,Identified document(s) already in Airtable,Screenshot 2024-09-13 at 10.58.40 AM.png (https://v5.airtableusercontent.com/v3/u/33/33/1727200800000/PfWhRJsrLSgtzUumLOOGYg/ljEOIMOGnoLRf2yDHK1oKviDTQ3iw0K2ava3vEX2Yh3obB8CK4HqQQfP4OZeM394XVojjBihuQEqgYA83_qeltrHb95ZqVn0RP6RgTcbUPBxhn33CGkiNt9ABBQcbGcvsq34pYzbt2-BlKNWFy-t-EIWiWSVp6SSjKPE1rxEY7RSQ46mnfxq7P7NEtgEEgUc/OyhQFkIxK0PkMGsTq8YIXNoQ_RJV3bS7jLNy73IWQVU),No major difference,Yes,Yes,checked
Bangladesh,5. Allow for to isolation of contacts?,Identified document(s) already in Airtable,Screenshot 2024-09-13 at 10.59.32 AM.png (https://v5.airtableusercontent.com/v3/u/33/33/1727200800000/0e0jKkC1WYx9wRu7lBDo5Q/qCaTsXk28-Vf3hyHCqyaBM_tj1OWA78zLvkWQ_YLB0vs4WLuaIScGYl3T-bmmxABHz5TT2MgzAZTSXUro5cMM9t0pBO7UAR8YdMcaJZMTCuz24TT7_VpahCy7U-Wke_-hXY6stX_9ET7uUpCYI7GZxQpDUopclA3sqd9WNXEoTMnsng4Mglsioc6LAaKIW3B/ybg75GK8oF9sjuQhtS-djqSl6Jmzv5MS7x6G3TRL06k),No major difference,Yes,Yes,checked
Bangladesh,6. What level of government quarantines?,Identified document(s) already in Airtable,,,Yes,Yes,
Bangladesh,7. Quarantine enforcement mechanisms?,Identified document(s) already in Airtable,,,Yes,Yes,
Bangladesh,8. Does the law limit quarantine to a list?,Identified document(s) already in Airtable,Screenshot 2024-09-13 at 11.00.33 AM.png (https://v5.airtableusercontent.com/v3/u/33/33/1727200800000/XYoz-1ozD3zOaUa_-66S_Q/E1e5R8WQbz3NAVdCJ25qmGXSsxGkwDClKl-4LSCideDLj8_HDNKtKnWZdGUxGz-74vpqmmkBz5omJEzB5bB9FqZCgBgGg4FKH6Bxprivhb2GghgT1gFlG-0vZ3lm1X8wGN8AJ9PN0WTtdbrDUHzQylRLH8GbHfELq8Mq2lWIQWgyZ885FJ3f_HIbG1uhAxW1/4NtG6eY60IQkOpBJYoy8WvcSkdH8kNMAk_JmgCcNn3k),No major difference,Yes,Yes,checked
Barbados,1. What law allows the government to isolate?,Identified document(s) already in Airtable,,,Yes,Yes,
Barbados,2. What level of government isolates?,Identified document(s) already in Airtable,,,Yes,Yes,
Barbados,3. Isolation enforcement mechanisms?,Identified document(s) already in Airtable,,,Yes,Yes,
Barbados,4. Does the law limit isolation to a list?,Identified document(s) already in Airtable,,,Yes,Yes,
Barbados,5. Allow for to isolation of contacts?,Identified document(s) already in Airtable,,,Yes,Yes,
Barbados,6. What level of government quarantines?,Identified document(s) already in Airtable,,,Yes,Yes,
Barbados,7. Quarantine enforcement mechanisms?,Identified document(s) already in Airtable,,,Yes,Yes,
Barbados,8. Does the law limit quarantine to a list?,Identified document(s) already in Airtable,,,Yes,Yes,
Belarus,1. What law allows the government to isolate?,Identified document(s) already in Airtable,,,Yes,Yes,
Belarus,2. What level of government isolates?,Identified document(s) already in Airtable,,,Yes,Yes,
Belarus,3. Isolation enforcement mechanisms?,Identified document(s) already in Airtable,,,"AI provides correct info, human was entirely wrong",AI finds something missed or incorrectly interpreted by SME,
Belarus,4. Does the law limit isolation to a list?,Identified document(s) already in Airtable,,,No - AI provides wrong info,No,
Belarus,5. Allow for to isolation of contacts?,Identified document(s) already in Airtable,,,Yes,Yes,
Belarus,6. What level of government quarantines?,Identified document(s) already in Airtable,,,Yes,Yes,
Belarus,7. Quarantine enforcement mechanisms?,Identified document(s) already in Airtable,,,"AI provides correct info, human was entirely wrong",AI finds something missed or incorrectly interpreted by SME,
Belarus,8. Does the law limit quarantine to a list?,Identified document(s) already in Airtable,,,No - AI provides wrong info,No,
Belgium,1. What law allows the government to isolate?,New document identified - suggest including,,,No - Both AI misses info found by human and human misses info found by AI,AI finds something missed or incorrectly interpreted by SME,
Belgium,2. What level of government isolates?,New document identified - suggest including,,,No - Both AI misses info found by human and human misses info found by AI,AI finds something missed or incorrectly interpreted by SME,
Belgium,3. Isolation enforcement mechanisms?,New document identified - suggest including,,,"Answer match, wrong law",No,
Belgium,4. Does the law limit isolation to a list?,New document identified - suggest including,,,"Answer match, wrong law",No,
Belgium,5. Allow for to isolation of contacts?,New document identified - suggest including,,,No - Both AI misses info found by human and human misses info found by AI,AI finds something missed or incorrectly interpreted by SME,
Belgium,6. What level of government quarantines?,New document identified - suggest including,,,No - Both AI misses info found by human and human misses info found by AI,AI finds something missed or incorrectly interpreted by SME,
Belgium,7. Quarantine enforcement mechanisms?,New document identified - suggest including,,No major difference,"Answer match, wrong law",No,
Belgium,8. Does the law limit quarantine to a list?,New document identified - suggest including,,,"Answer match, wrong law",No,
Belize,1. What law allows the government to isolate?,Identified document(s) already in Airtable,Screenshot 2024-09-13 at 11.03.01 AM.png (https://v5.airtableusercontent.com/v3/u/33/33/1727200800000/pGwz4QQDz85F_8N5V6sddg/PNfgKBcMcF4Ka0ZOxKhKugfnOgWRgSdZePta4rAl3xcBEtqyCwDil2ki8RAuGl2IDsKdA7ZcHNZJqxlCfKaVNXTBv0cVjcjKaKbgMV-CFtriIerFT2pyOK63jqw_yscuu35gD6KWoBDpzE2ysCysT3Cv7bfsDhiV8nov93NY1oVWy_OS4VeDT76XxRrVwkIo/Jhq8aqYaKWlfZ4iCNJ3cd37XDV3B5okmzLSDKLh3AAg),No major difference,Yes,Yes,checked
Belize,2. What level of government isolates?,New document identified - suggest excluding,Screenshot 2024-09-13 at 11.55.41 AM.png (https://v5.airtableusercontent.com/v3/u/33/33/1727200800000/E4iZCS_9Ui5Ca4fJxCWelA/3D-Yez4IAQIP0hskHV_ulvrQap_b5EAB00jJ8jERa1UcIhQ857Jw2osjcI0FxQKpN5J-jsUhGOT3S7RZLYWAb8mBbutMonAKamHrImECZl2AFjOq0d5VG5bHCreWx0ge-aSbPuL0uSBBJGtXiBj0OjAukj0kHWLAJ7DbiIxKzL1nuiGY9m12xnNg4lYARRxK/x69SF1YsXUySAKabFNkTkLpN4h37AFHFWDAGcLuEbKQ),Major difference,No - AI provides wrong info,No,checked
Belize,3. Isolation enforcement mechanisms?,New document identified - suggest excluding,Screenshot 2024-09-13 at 11.56.21 AM.png (https://v5.airtableusercontent.com/v3/u/33/33/1727200800000/K0UeClhUz7vs-47MYXUfgw/kXyMQ0gszWMrRBxpfVy6P0xHPhh5BRnsnl6gT2eKlJwDOI1pER0SIsRf4RH6bW16GI5dim1Ji9dgeh0O1J3oGB7t5SJs0t7NZeGMSJ8H60EC1TWRgXorcLpw67-AwWMz6czivj_n5F_-cJ4046GJtKjBfx3R5C5tQM_nbLchMvp-_y4zkhwwaAFIifpSa1I6/C3uTt7C6GT-lD9Tiess8Sy1P5hv9Oug1dkgwSvkGdCc),Major difference,Yes,Yes,checked
Belize,4. Does the law limit isolation to a list?,New document identified - suggest excluding,Screenshot 2024-09-13 at 11.57.08 AM.png (https://v5.airtableusercontent.com/v3/u/33/33/1727200800000/vukvFUnzN34pEdVvSbGEDA/uyIeeV6WFyB1l6-QrymEcJurDMjRn0vD1AgiXRlKxDcWj9hyVXmYUE8tUuhcxeFCrYg_WqGfy-z3w1fNZjTBtjj-0k2_UmGvmjwnZCohzZMWpfsNeINQi6-_AoRlBdqZCEtJsxo-GGjOuox5u1Qoq1q30BknhxabAgFU-2aW5ixiisywRJ7_SAmPM3pa2soE/_Ak3BDyRGDpjv_8Wl15HqO56qtwfma9HOXHjx35WrEA),Major difference,No - AI provides wrong info,No,checked
Belize,5. Allow for to isolation of contacts?,New document identified - suggest excluding,Screenshot 2024-09-13 at 11.57.52 AM.png (https://v5.airtableusercontent.com/v3/u/33/33/1727200800000/X7ZnFLqHYErdDHNV09p6Cw/Tcxjqe3Pqagv6COn73HttFWLsvcmIunpXmMP1_XRMUKhwGYOE3qXpMnBSbxXAVtce0Rs-xVc18u2yF2XmyiTJEVU5e-IHywVj0lhK13RlP12tZh0Vkmnh-aTiPo3QPs5-RLvQvU7GCbYwS4Ti2VxPWH1iHlKbvIx2a16u-J1fiUIQb_wkp1VG-RzAWobNNry/3kfx3OsXpwNc2y6UtOzo8BRTy1_IxrKcQcJZw0sQ9A4),Major difference,No - AI provides wrong info,No,checked
Belize,6. What level of government quarantines?,New document identified - suggest excluding,Screenshot 2024-09-13 at 11.58.08 AM.png (https://v5.airtableusercontent.com/v3/u/33/33/1727200800000/dmm_kzOY0Mr9Qx6q8CJr9g/rpkvd-D-DSKia30oOFUfQrvvrCggTnsxIetSKEtxokZq1hJQaFoySWwmlg6r8ZWS34GtPFwlJlQQG8hv17IXcA8lbrelxiPWO5RYmDmFuA7kYLVvcBx_zXJ6U3ZoqRU47E6w5c26aKL1JDYAonFvsTxbornr564TIXMd4uLyJBZhEWxveMDNnm8vftz84aW6/fUS6483oWLeDZ9hBaPTxkOsy7uoFnelYZ934HzlqGqk),Major difference,Yes,Yes,checked
Belize,7. Quarantine enforcement mechanisms?,Identified document(s) already in Airtable,,,Yes,Yes,
Belize,8. Does the law limit quarantine to a list?,Identified document(s) already in Airtable,,,Yes,Yes,
Benin,1. What law allows the government to isolate?,No relevant documents identified,,,No - AI misses info found by human,No,
