Country,Query,Status,Match,AMP Cited
Bangladesh,4. Does the law limit isolation to a list?,Identified document(s) already in Airtable,Yes,checked
Bangladesh,5. Allow for to isolation of contacts?,Identified document(s) already in Airtable,Yes,checked
Bangladesh,6. What level of government quarantines?,Identified document(s) already in Airtable,Yes,
Bangladesh,7. Quarantine enforcement mechanisms?,Identified document(s) already in Airtable,Yes,
Bangladesh,8. Does the law limit quarantine to a list?,Identified document(s) already in Airtable,Yes,checked
Barbados,1. What law allows the government to isolate?,Identified document(s) already in Airtable,Yes,
Barbados,2. What level of government isolates?,Identified document(s) already in Airtable,Yes,
Barbados,3. Isolation enforcement mechanisms?,Identified document(s) already in Airtable,Yes,
Barbados,4. Does the law limit isolation to a list?,Identified document(s) already in Airtable,Yes,
Barbados,5. Allow for to isolation of contacts?,Identified document(s) already in Airtable,Yes,
Barbados,6. What level of government quarantines?,Identified document(s) already in Airtable,Yes,
Barbados,7. Quarantine enforcement mechanisms?,Identified document(s) already in Airtable,Yes,
Barbados,8. Does the law limit quarantine to a list?,Identified document(s) already in Airtable,Yes,
Belarus,1. What law allows the government to isolate?,Identified document(s) already in Airtable,Yes,
Belarus,2. What level of government isolates?,Identified document(s) already in Airtable,Yes,
Belarus,3. Isolation enforcement mechanisms?,Identified document(s) already in Airtable,"AI provides correct info, human was entirely wrong",
Belarus,4. Does the law limit isolation to a list?,Identified document(s) already in Airtable,No - AI provides wrong info,
Belarus,5. Allow for to isolation of contacts?,Identified document(s) already in Airtable,Yes,
Belarus,6. What level of government quarantines?,Identified document(s) already in Airtable,Yes,
Belarus,7. Quarantine enforcement mechanisms?,Identified document(s) already in Airtable,"AI provides correct info, human was entirely wrong",
Belarus,8. Does the law limit quarantine to a list?,Identified document(s) already in Airtable,No - AI provides wrong info,
Belgium,1. What law allows the government to isolate?,New document identified - suggest including,No - Both AI misses info found by human and human misses info found by AI,
Belgium,2. What level of government isolates?,New document identified - suggest including,No - Both AI misses info found by human and human misses info found by AI,
Belgium,3. Isolation enforcement mechanisms?,New document identified - suggest including,"Answer match, wrong law",
Belgium,4. Does the law limit isolation to a list?,New document identified - suggest including,"Answer match, wrong law",
Belgium,5. Allow for to isolation of contacts?,New document identified - suggest including,No - Both AI misses info found by human and human misses info found by AI,
Belgium,6. What level of government quarantines?,New document identified - suggest including,No - Both AI misses info found by human and human misses info found by AI,
Belgium,7. Quarantine enforcement mechanisms?,New document identified - suggest including,"Answer match, wrong law",
Belgium,8. Does the law limit quarantine to a list?,New document identified - suggest including,"Answer match, wrong law",
Belize,1. What law allows the government to isolate?,Identified document(s) already in Airtable,Yes,checked
Belize,2. What level of government isolates?,Identified document(s) already in Airtable,Yes,checked
Belize,3. Isolation enforcement mechanisms?,Identified document(s) already in Airtable,Yes,checked
Belize,4. Does the law limit isolation to a list?,Identified document(s) already in Airtable,Yes,checked
Belize,5. Allow for to isolation of contacts?,Identified document(s) already in Airtable,Yes,checked
Belize,6. What level of government quarantines?,Identified document(s) already in Airtable,Yes,checked
Belize,7. Quarantine enforcement mechanisms?,Identified document(s) already in Airtable,Yes,
Belize,8. Does the law limit quarantine to a list?,Identified document(s) already in Airtable,Yes,
Benin,1. What law allows the government to isolate?,No relevant documents identified,No - AI misses info found by human,
Benin,2. What level of government isolates?,No relevant documents identified,No - AI misses info found by human,
Benin,3. Isolation enforcement mechanisms?,No relevant documents identified,No - AI misses info found by human,
Benin,4. Does the law limit isolation to a list?,No relevant documents identified,No - AI misses info found by human,
Benin,5. Allow for to isolation of contacts?,No relevant documents identified,No - AI misses info found by human,
Benin,6. What level of government quarantines?,No relevant documents identified,No - AI misses info found by human,
Benin,7. Quarantine enforcement mechanisms?,No relevant documents identified,No - AI misses info found by human,
Benin,8. Does the law limit quarantine to a list?,No relevant documents identified,No - AI misses info found by human,
Bhutan,1. What law allows the government to isolate?,No relevant documents identified,No - AI misses info found by human,
Bhutan,2. What level of government isolates?,No relevant documents identified,No - AI misses info found by human,
Bhutan,3. Isolation enforcement mechanisms?,No relevant documents identified,No - AI misses info found by human,
Bhutan,4. Does the law limit isolation to a list?,No relevant documents identified,No - AI misses info found by human,
Bhutan,5. Allow for to isolation of contacts?,No relevant documents identified,No - AI misses info found by human,
Bhutan,6. What level of government quarantines?,No relevant documents identified,No - AI misses info found by human,
Bhutan,7. Quarantine enforcement mechanisms?,No relevant documents identified,No - AI misses info found by human,
Bhutan,8. Does the law limit quarantine to a list?,No relevant documents identified,No - AI misses info found by human,
Bolivia (Plurinational State of),1. What law allows the government to isolate?,Identified document(s) already in Airtable,Yes,
Bolivia (Plurinational State of),2. What level of government isolates?,Identified document(s) already in Airtable,Yes,
Bolivia (Plurinational State of),3. Isolation enforcement mechanisms?,Identified document(s) already in Airtable,Yes,
Bolivia (Plurinational State of),4. Does the law limit isolation to a list?,Identified document(s) already in Airtable,No - AI provides wrong info,checked
Bolivia (Plurinational State of),5. Allow for to isolation of contacts?,Identified document(s) already in Airtable,Yes,
Bolivia (Plurinational State of),6. What level of government quarantines?,Identified document(s) already in Airtable,Yes,
Bolivia (Plurinational State of),7. Quarantine enforcement mechanisms?,Identified document(s) already in Airtable,Yes,checked
Bolivia (Plurinational State of),8. Does the law limit quarantine to a list?,Identified document(s) already in Airtable,No - AI provides wrong info,
Bosnia and Herzegovina,1. What law allows the government to isolate?,Identified document(s) already in Airtable,Yes,
Bosnia and Herzegovina,2. What level of government isolates?,Identified document(s) already in Airtable,Yes,checked
Bosnia and Herzegovina,3. Isolation enforcement mechanisms?,Identified document(s) already in Airtable,Yes,checked
Bosnia and Herzegovina,4. Does the law limit isolation to a list?,Identified document(s) already in Airtable,Yes,checked
Bosnia and Herzegovina,5. Allow for to isolation of contacts?,Identified document(s) already in Airtable,Yes,checked
Bosnia and Herzegovina,6. What level of government quarantines?,Identified document(s) already in Airtable,Yes,checked
Bosnia and Herzegovina,7. Quarantine enforcement mechanisms?,Identified document(s) already in Airtable,Yes,checked
Bosnia and Herzegovina,8. Does the law limit quarantine to a list?,Identified document(s) already in Airtable,Yes,
Botswana,1. What law allows the government to isolate?,Identified document(s) already in Airtable,Yes,
Botswana,2. What level of government isolates?,Identified document(s) already in Airtable,Yes,
Botswana,3. Isolation enforcement mechanisms?,Identified document(s) already in Airtable,Yes,checked
Botswana,4. Does the law limit isolation to a list?,Identified document(s) already in Airtable,Yes,
Botswana,5. Allow for to isolation of contacts?,Identified document(s) already in Airtable,Yes,
Botswana,6. What level of government quarantines?,Identified document(s) already in Airtable,Yes,checked
Botswana,7. Quarantine enforcement mechanisms?,Identified document(s) already in Airtable,Yes,checked
Botswana,8. Does the law limit quarantine to a list?,Identified document(s) already in Airtable,Yes,checked
Brazil,1. What law allows the government to isolate?,Identified document(s) already in Airtable,Yes,
Brazil,2. What level of government isolates?,Identified document(s) already in Airtable,"AI provides correct info, human was entirely wrong",
Brazil,3. Isolation enforcement mechanisms?,Identified document(s) already in Airtable,Yes,
Brazil,4. Does the law limit isolation to a list?,Identified document(s) already in Airtable,No - AI misses info found by human,
Brazil,5. Allow for to isolation of contacts?,Identified document(s) already in Airtable,Yes,
Brazil,6. What level of government quarantines?,Identified document(s) already in Airtable,"AI provides correct info, human was entirely wrong",
Brazil,7. Quarantine enforcement mechanisms?,Identified document(s) already in Airtable,Yes,
Brazil,8. Does the law limit quarantine to a list?,Identified document(s) already in Airtable,No - AI misses info found by human,
Brunei Darussalam,1. What law allows the government to isolate?,Identified document(s) already in Airtable,Yes,
Brunei Darussalam,2. What level of government isolates?,Identified document(s) already in Airtable,Yes,
Brunei Darussalam,3. Isolation enforcement mechanisms?,Identified document(s) already in Airtable,Yes,
Brunei Darussalam,4. Does the law limit isolation to a list?,Identified document(s) already in Airtable,Yes,
Brunei Darussalam,5. Allow for to isolation of contacts?,Identified document(s) already in Airtable,Yes,
Brunei Darussalam,6. What level of government quarantines?,Identified document(s) already in Airtable,Yes,
Brunei Darussalam,7. Quarantine enforcement mechanisms?,Identified document(s) already in Airtable,Yes,
Brunei Darussalam,8. Does the law limit quarantine to a list?,Identified document(s) already in Airtable,Yes,
Bulgaria,1. What law allows the government to isolate?,Identified document(s) already in Airtable,Yes,
Bulgaria,2. What level of government isolates?,Identified document(s) already in Airtable,Yes,
Bulgaria,3. Isolation enforcement mechanisms?,Identified document(s) already in Airtable,Yes,
Bulgaria,4. Does the law limit isolation to a list?,Identified document(s) already in Airtable,Yes,
Bulgaria,5. Allow for to isolation of contacts?,Identified document(s) already in Airtable,Yes,
Bulgaria,6. What level of government quarantines?,Identified document(s) already in Airtable,Yes,
Bulgaria,7. Quarantine enforcement mechanisms?,Identified document(s) already in Airtable,Yes,
Bulgaria,8. Does the law limit quarantine to a list?,Identified document(s) already in Airtable,Yes,
Burkina Faso,1. What law allows the government to isolate?,Identified document(s) already in Airtable,Yes,
Burkina Faso,2. What level of government isolates?,Identified document(s) already in Airtable,Yes,
Burkina Faso,3. Isolation enforcement mechanisms?,Identified document(s) already in Airtable,Yes,
Burkina Faso,4. Does the law limit isolation to a list?,Identified document(s) already in Airtable,Yes,
Burkina Faso,5. Allow for to isolation of contacts?,Identified document(s) already in Airtable,Yes,
Burkina Faso,6. What level of government quarantines?,Identified document(s) already in Airtable,Yes,
Burkina Faso,7. Quarantine enforcement mechanisms?,Identified document(s) already in Airtable,Yes,
Burkina Faso,8. Does the law limit quarantine to a list?,Identified document(s) already in Airtable,Yes,
Burundi,1. What law allows the government to isolate?,Identified document(s) already in Airtable,Yes,checked
Burundi,2. What level of government isolates?,Identified document(s) already in Airtable,Yes,checked
Burundi,3. Isolation enforcement mechanisms?,Identified document(s) already in Airtable,Yes,checked
Burundi,4. Does the law limit isolation to a list?,Identified document(s) already in Airtable,No - AI provides wrong info,
Burundi,5. Allow for to isolation of contacts?,Identified document(s) already in Airtable,Yes,
Burundi,6. What level of government quarantines?,Identified document(s) already in Airtable,Yes,
Burundi,7. Quarantine enforcement mechanisms?,Identified document(s) already in Airtable,Yes,
Burundi,8. Does the law limit quarantine to a list?,Identified document(s) already in Airtable,No - AI provides wrong info,
Cabo Verde (Cape Verde),1. What law allows the government to isolate?,No relevant documents identified,No - AI misses info found by human,
Cabo Verde (Cape Verde),2. What level of government isolates?,No relevant documents identified,No - AI misses info found by human,
Cabo Verde (Cape Verde),3. Isolation enforcement mechanisms?,No relevant documents identified,No - AI misses info found by human,
Cabo Verde (Cape Verde),4. Does the law limit isolation to a list?,No relevant documents identified,No - AI misses info found by human,
Cabo Verde (Cape Verde),5. Allow for to isolation of contacts?,No relevant documents identified,No - AI misses info found by human,
Cabo Verde (Cape Verde),6. What level of government quarantines?,No relevant documents identified,No - AI misses info found by human,
Cabo Verde (Cape Verde),7. Quarantine enforcement mechanisms?,No relevant documents identified,No - AI misses info found by human,
Cabo Verde (Cape Verde),8. Does the law limit quarantine to a list?,No relevant documents identified,No - AI misses info found by human,
Cambodia,1. What law allows the government to isolate?,New document identified - suggest excluding,No - Both AI misses info found by human and human misses info found by AI,
Cambodia,2. What level of government isolates?,New document identified - suggest excluding,No - Both AI misses info found by human and human misses info found by AI,
Cambodia,3. Isolation enforcement mechanisms?,Identified document(s) already in Airtable,Yes,checked
Cambodia,4. Does the law limit isolation to a list?,Identified document(s) already in Airtable,No - AI misses info found by human,
Cambodia,5. Allow for to isolation of contacts?,Identified document(s) already in Airtable,Yes,checked
Cambodia,6. What level of government quarantines?,Identified document(s) already in Airtable,Yes,
Cambodia,7. Quarantine enforcement mechanisms?,Identified document(s) already in Airtable,Yes,
Cambodia,8. Does the law limit quarantine to a list?,Identified document(s) already in Airtable,No - AI misses info found by human,checked
Cameroon,1. What law allows the government to isolate?,No relevant documents identified,No - AI misses info found by human,
Cameroon,2. What level of government isolates?,No relevant documents identified,No - AI misses info found by human,
Cameroon,3. Isolation enforcement mechanisms?,No relevant documents identified,No - AI misses info found by human,
Cameroon,4. Does the law limit isolation to a list?,No relevant documents identified,No - AI misses info found by human,
Cameroon,5. Allow for to isolation of contacts?,No relevant documents identified,No - AI misses info found by human,
Cameroon,6. What level of government quarantines?,No relevant documents identified,No - AI misses info found by human,
Cameroon,7. Quarantine enforcement mechanisms?,No relevant documents identified,No - AI misses info found by human,
Cameroon,8. Does the law limit quarantine to a list?,No relevant documents identified,No - AI misses info found by human,
Canada,1. What law allows the government to isolate?,Identified document(s) already in Airtable,Yes,
Canada,2. What level of government isolates?,Identified document(s) already in Airtable,Yes,
Canada,3. Isolation enforcement mechanisms?,Identified document(s) already in Airtable,Yes,
Canada,4. Does the law limit isolation to a list?,Identified document(s) already in Airtable,No - AI provides wrong info,
Canada,5. Allow for to isolation of contacts?,Identified document(s) already in Airtable,Yes,
Canada,6. What level of government quarantines?,Identified document(s) already in Airtable,Yes,
Canada,7. Quarantine enforcement mechanisms?,Identified document(s) already in Airtable,Yes,
Canada,8. Does the law limit quarantine to a list?,Identified document(s) already in Airtable,,
Central African Republic (CAR),1. What law allows the government to isolate?,Identified document(s) already in Airtable,Yes,
Central African Republic (CAR),2. What level of government isolates?,Identified document(s) already in Airtable,Yes,
Central African Republic (CAR),3. Isolation enforcement mechanisms?,Identified document(s) already in Airtable,Yes,
Central African Republic (CAR),4. Does the law limit isolation to a list?,Identified document(s) already in Airtable,Yes,
Central African Republic (CAR),5. Allow for to isolation of contacts?,Identified document(s) already in Airtable,Yes,
Central African Republic (CAR),6. What level of government quarantines?,Identified document(s) already in Airtable,Yes,
Central African Republic (CAR),7. Quarantine enforcement mechanisms?,Identified document(s) already in Airtable,Yes,
Central African Republic (CAR),8. Does the law limit quarantine to a list?,Identified document(s) already in Airtable,Yes,
Chad,1. What law allows the government to isolate?,No relevant documents identified,No - AI misses info found by human,
Chad,2. What level of government isolates?,No relevant documents identified,No - AI misses info found by human,
Chad,3. Isolation enforcement mechanisms?,No relevant documents identified,No - AI misses info found by human,
Chad,4. Does the law limit isolation to a list?,No relevant documents identified,No - AI misses info found by human,
Chad,5. Allow for to isolation of contacts?,No relevant documents identified,No - AI misses info found by human,
Chad,6. What level of government quarantines?,No relevant documents identified,No - AI misses info found by human,
Chad,7. Quarantine enforcement mechanisms?,No relevant documents identified,No - AI misses info found by human,
Chad,8. Does the law limit quarantine to a list?,No relevant documents identified,No - AI misses info found by human,
Chile,1. What law allows the government to isolate?,Identified document(s) already in Airtable,Yes,
Chile,2. What level of government isolates?,Identified document(s) already in Airtable,Yes,
Chile,3. Isolation enforcement mechanisms?,Identified document(s) already in Airtable,No - AI provides wrong info,
Chile,4. Does the law limit isolation to a list?,Identified document(s) already in Airtable,Yes,
Chile,5. Allow for to isolation of contacts?,Identified document(s) already in Airtable,Yes,
Chile,6. What level of government quarantines?,Identified document(s) already in Airtable,Yes,
Chile,7. Quarantine enforcement mechanisms?,Identified document(s) already in Airtable,No - AI provides wrong info,
Chile,8. Does the law limit quarantine to a list?,Identified document(s) already in Airtable,Yes,
China (People's Republic of China; PRC),1. What law allows the government to isolate?,Identified document(s) already in Airtable,Yes,
China (People's Republic of China; PRC),2. What level of government isolates?,Identified document(s) already in Airtable,Yes,
China (People's Republic of China; PRC),3. Isolation enforcement mechanisms?,Identified document(s) already in Airtable,Yes,
China (People's Republic of China; PRC),4. Does the law limit isolation to a list?,Identified document(s) already in Airtable,Yes,
China (People's Republic of China; PRC),5. Allow for to isolation of contacts?,Identified document(s) already in Airtable,Yes,
China (People's Republic of China; PRC),6. What level of government quarantines?,Identified document(s) already in Airtable,Yes,
China (People's Republic of China; PRC),7. Quarantine enforcement mechanisms?,Identified document(s) already in Airtable,Yes,
China (People's Republic of China; PRC),8. Does the law limit quarantine to a list?,Identified document(s) already in Airtable,Yes,
Chinese Taipei (Taiwan; Republic of China; ROC),1. What law allows the government to isolate?,Identified document(s) already in Airtable,Yes,
Chinese Taipei (Taiwan; Republic of China; ROC),2. What level of government isolates?,Identified document(s) already in Airtable,Yes,
Chinese Taipei (Taiwan; Republic of China; ROC),3. Isolation enforcement mechanisms?,Identified document(s) already in Airtable,Yes,checked
Chinese Taipei (Taiwan; Republic of China; ROC),4. Does the law limit isolation to a list?,Identified document(s) already in Airtable,Yes,checked
Chinese Taipei (Taiwan; Republic of China; ROC),5. Allow for to isolation of contacts?,Identified document(s) already in Airtable,Yes,checked
Chinese Taipei (Taiwan; Republic of China; ROC),6. What level of government quarantines?,Identified document(s) already in Airtable,Yes,checked
Chinese Taipei (Taiwan; Republic of China; ROC),7. Quarantine enforcement mechanisms?,Identified document(s) already in Airtable,Yes,
Chinese Taipei (Taiwan; Republic of China; ROC),8. Does the law limit quarantine to a list?,Identified document(s) already in Airtable,Yes,
Colombia,1. What law allows the government to isolate?,Identified document(s) already in Airtable,Yes,
Colombia,2. What level of government isolates?,Identified document(s) already in Airtable,Yes,
Colombia,3. Isolation enforcement mechanisms?,Identified document(s) already in Airtable,Yes,
Colombia,4. Does the law limit isolation to a list?,Identified document(s) already in Airtable,Yes,
Colombia,5. Allow for to isolation of contacts?,Identified document(s) already in Airtable,Yes,
Colombia,6. What level of government quarantines?,Identified document(s) already in Airtable,Yes,
Colombia,7. Quarantine enforcement mechanisms?,Identified document(s) already in Airtable,Yes,
Colombia,8. Does the law limit quarantine to a list?,Identified document(s) already in Airtable,Yes,
Comoros,1. What law allows the government to isolate?,Identified document(s) already in Airtable,Yes,checked
Comoros,2. What level of government isolates?,Identified document(s) already in Airtable,Yes,
Comoros,3. Isolation enforcement mechanisms?,Identified document(s) already in Airtable,Yes,checked
Comoros,4. Does the law limit isolation to a list?,Identified document(s) already in Airtable,Yes,checked
Comoros,5. Allow for to isolation of contacts?,Identified document(s) already in Airtable,Yes,checked
Comoros,6. What level of government quarantines?,Identified document(s) already in Airtable,Yes,checked
Comoros,7. Quarantine enforcement mechanisms?,Identified document(s) already in Airtable,Yes,checked
Comoros,8. Does the law limit quarantine to a list?,Identified document(s) already in Airtable,Yes,checked
Congo (Republic of the Congo),1. What law allows the government to isolate?,Identified document(s) already in Airtable,Yes,
Congo (Republic of the Congo),2. What level of government isolates?,Identified document(s) already in Airtable,Yes,
Congo (Republic of the Congo),3. Isolation enforcement mechanisms?,Identified document(s) already in Airtable,Yes,
Congo (Republic of the Congo),4. Does the law limit isolation to a list?,Identified document(s) already in Airtable,Yes,
Congo (Republic of the Congo),5. Allow for to isolation of contacts?,Identified document(s) already in Airtable,Yes,
Congo (Republic of the Congo),6. What level of government quarantines?,Identified document(s) already in Airtable,Yes,
Congo (Republic of the Congo),7. Quarantine enforcement mechanisms?,Identified document(s) already in Airtable,Yes,
Congo (Republic of the Congo),8. Does the law limit quarantine to a list?,Identified document(s) already in Airtable,Yes,
Cook Islands,1. What law allows the government to isolate?,Identified document(s) already in Airtable,Yes,
Cook Islands,2. What level of government isolates?,Identified document(s) already in Airtable,Yes,
