Citation,Parent Statute,Source,Chapter,Document Type,File,url (from File),PDF (from File),Date Last Updated (from File),Date Originally Published (from File),Entity Empowered,Triggering Event,Describe Health Emergency,Location,Military Involvement (Federal),Preliminary Screening,Funding Stream Description,"Regulations: Relevant Chapter, Section or Article",Scenarios Matrix,Funding Stream?,Waiver Authority,Plans & Strategies,State Trigger,Document Description,Note,Powers Invoked
42 U.S.C. § 1395dd (b)(3),Examination and treatment for emergency medical conditional and women in labor (EMTALA) ,EMTALA,,Legislation,Examination and treatment for emergency medical conditional and women in labor (EMTALA),https://www.govinfo.gov/content/pkg/USCODE-2022-title42/pdf/USCODE-2022-title42-chap7-subchapXVIII-partE-sec1395dd.pdf,USCODE-2022-title42-chap7-subchapXVIII-partE-sec1395dd.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/lweK9G2o8GAJhPvsZTpBzg/vFOTvLrOqEykW2SazQieSaCughi9HlcHwagjeoHPJI-dvSDg-a9N2LPiMX4c_9JtAC0ZaxZxMaUkO6FAr0uJ6R00gFPxEPGU8JQUhJZyYfn62HMbZJS3i5V9RWbblsNbj5JJ4lTTmveZ-y8kUCj9VDUpsfxGEg_vka0hKnK8s10s30JWmK250B8PgcmNNr-7TBktogllogUiqzmoCgAerk9i2I0s1hm4Q9YprybxD7U/UtV2d3AdSog5f_vG45o4RJZX6cwFBKtMZj5U3nXeuxQ),1/1/22,4/7/86,Department of Health and Human Services,Hospital Receives Federal Funding,,Domestic,No,Include,,,Scenario 1,,,,Not applicable,"In the event that a hospital offers a patient with an emergency medical condition an option to transfer to another medical facility, but the individual refuses such a transfer, the hospital must take all reasonable steps to confirm written informed consent to refuse this option. ",,"Movement of Patients,Provision of Medical Care,Health and Safety Regulations"
42 U.S.C. § 1395dd (c)(1),Examination and treatment for emergency medical conditional and women in labor (EMTALA),EMTALA,,Legislation,Examination and treatment for emergency medical conditional and women in labor (EMTALA),https://www.govinfo.gov/content/pkg/USCODE-2022-title42/pdf/USCODE-2022-title42-chap7-subchapXVIII-partE-sec1395dd.pdf,USCODE-2022-title42-chap7-subchapXVIII-partE-sec1395dd.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/lweK9G2o8GAJhPvsZTpBzg/vFOTvLrOqEykW2SazQieSaCughi9HlcHwagjeoHPJI-dvSDg-a9N2LPiMX4c_9JtAC0ZaxZxMaUkO6FAr0uJ6R00gFPxEPGU8JQUhJZyYfn62HMbZJS3i5V9RWbblsNbj5JJ4lTTmveZ-y8kUCj9VDUpsfxGEg_vka0hKnK8s10s30JWmK250B8PgcmNNr-7TBktogllogUiqzmoCgAerk9i2I0s1hm4Q9YprybxD7U/UtV2d3AdSog5f_vG45o4RJZX6cwFBKtMZj5U3nXeuxQ),1/1/22,4/7/86,Department of Health and Human Services,Hospital Receives Federal Funding,,Domestic,No,Include,,,Scenario 1,,,,Not applicable,"Section C outlines the responsibilities of the hospital at which a patient with an emergency medical condition arrived before that patient may be transferred. According to section (c)(1), a patient must be stabilized before being transferred to another medical facility unless: (A(i) the individual seeking care requests in writing a transfer to a different facility after being informed of the hospital's responsibility to provide care; (ii) a physician certifies that the medical benefits derived from a transfer outweigh the risks to the patient or the fetus of a pregnant person; (iii) in the event a physician is not present, a qualified medical person certifies the transfer as described in (ii) after consultation with a physician. ",,
"The transfer must also be deemed to be appropriate. """,,"Provision of Medical Care,Health and Safety Regulations,Movement of Patients",,,,,,,,,,,,,,,,,,,,,,,
42 U.S.C. § 1395dd (c)(2),Examination and treatment for emergency medical conditional and women in labor (EMTALA) ,EMTALA,,Legislation,Examination and treatment for emergency medical conditional and women in labor (EMTALA),https://www.govinfo.gov/content/pkg/USCODE-2022-title42/pdf/USCODE-2022-title42-chap7-subchapXVIII-partE-sec1395dd.pdf,USCODE-2022-title42-chap7-subchapXVIII-partE-sec1395dd.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/lweK9G2o8GAJhPvsZTpBzg/vFOTvLrOqEykW2SazQieSaCughi9HlcHwagjeoHPJI-dvSDg-a9N2LPiMX4c_9JtAC0ZaxZxMaUkO6FAr0uJ6R00gFPxEPGU8JQUhJZyYfn62HMbZJS3i5V9RWbblsNbj5JJ4lTTmveZ-y8kUCj9VDUpsfxGEg_vka0hKnK8s10s30JWmK250B8PgcmNNr-7TBktogllogUiqzmoCgAerk9i2I0s1hm4Q9YprybxD7U/UtV2d3AdSog5f_vG45o4RJZX6cwFBKtMZj5U3nXeuxQ),1/1/22,4/7/86,Department of Health and Human Services,Hospital Receives Federal Funding,,Domestic,No,Include,,,Scenario 1,,,,Not applicable,Section c outlines the responsibilities of the hospital at which a patient with an emergency medical condition arrived before that patient may be transferred. Paragraph 2 states that an appropriate transfer must meet the following criteria: ,,
A. The transferring hospital can provide the medical treatment to the individual in a manner that minimizes the risk to an individual, and potentially a fetus' life. ,,,,,,,,,,,,,,,,,,,,,,,,
B. The receiving facility has the capacity and personnel to treat the patient and has agreed to accept the case and provide appropriate care. ,,,,,,,,,,,,,,,,,,,,,,,,,
C. The transferring hospital sends all medical records and documents related to the emergency medical condition and patient to the receiving hospital,,,,,,,,,,,,,,,,,,,,,,,,,
D. All necessary and appropriate life support measures are utilized during patient transfer,,,,,,,,,,,,,,,,,,,,,,,,,
"E. Meets any other requirements required by the Secretary of Health and Human Services. """,,"Movement of Patients,Provision of Medical Care,Health and Safety Regulations",,,,,,,,,,,,,,,,,,,,,,,
42 U.S.C. § 1395dd (f),Examination and treatment for emergency medical conditional and women in labor (EMTALA) ,EMTALA,,Legislation,Examination and treatment for emergency medical conditional and women in labor (EMTALA),https://www.govinfo.gov/content/pkg/USCODE-2022-title42/pdf/USCODE-2022-title42-chap7-subchapXVIII-partE-sec1395dd.pdf,USCODE-2022-title42-chap7-subchapXVIII-partE-sec1395dd.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/lweK9G2o8GAJhPvsZTpBzg/vFOTvLrOqEykW2SazQieSaCughi9HlcHwagjeoHPJI-dvSDg-a9N2LPiMX4c_9JtAC0ZaxZxMaUkO6FAr0uJ6R00gFPxEPGU8JQUhJZyYfn62HMbZJS3i5V9RWbblsNbj5JJ4lTTmveZ-y8kUCj9VDUpsfxGEg_vka0hKnK8s10s30JWmK250B8PgcmNNr-7TBktogllogUiqzmoCgAerk9i2I0s1hm4Q9YprybxD7U/UtV2d3AdSog5f_vG45o4RJZX6cwFBKtMZj5U3nXeuxQ),1/1/22,4/7/86,Department of Health and Human Services,Hospital Receives Federal Funding,,Domestic,No,Include,,,Scenario 1,,,,Not applicable,Facilities that have specialized capabilities or facilities may not refuse to accept an appropriate transfer of a patient that requires such specialized treatment so long as the hospital has the capacity to treat the individual. ,,"Movement of Patients,Provision of Medical Care,Health and Safety Regulations"
42 U.S.C. § 1395dd (h),Examination and treatment for emergency medical conditional and women in labor (EMTALA) ,EMTALA,,Legislation,Examination and treatment for emergency medical conditional and women in labor (EMTALA),https://www.govinfo.gov/content/pkg/USCODE-2022-title42/pdf/USCODE-2022-title42-chap7-subchapXVIII-partE-sec1395dd.pdf,USCODE-2022-title42-chap7-subchapXVIII-partE-sec1395dd.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/lweK9G2o8GAJhPvsZTpBzg/vFOTvLrOqEykW2SazQieSaCughi9HlcHwagjeoHPJI-dvSDg-a9N2LPiMX4c_9JtAC0ZaxZxMaUkO6FAr0uJ6R00gFPxEPGU8JQUhJZyYfn62HMbZJS3i5V9RWbblsNbj5JJ4lTTmveZ-y8kUCj9VDUpsfxGEg_vka0hKnK8s10s30JWmK250B8PgcmNNr-7TBktogllogUiqzmoCgAerk9i2I0s1hm4Q9YprybxD7U/UtV2d3AdSog5f_vG45o4RJZX6cwFBKtMZj5U3nXeuxQ),1/1/22,4/7/86,Department of Health and Human Services,Hospital Receives Federal Funding,,Domestic,No,Include,,,Scenario 1,,,,Not applicable,A hospital may not delay appropriate medical screening for emergency medical conditions or treatment for such a condition in order to inquire about the individual's insurance status or intended payment method. ,,"Health and Safety Regulations,Provision of Medical Care"
42 U.S. Code § 247b,Targeted liability protections for pandemic and epidemic products and security countermeasures,PREP Act,,Legislation,Targeted liability protections for pandemic and epidemic products and security countermeasures,https://www.govinfo.gov/content/pkg/USCODE-2022-title42/pdf/USCODE-2022-title42-chap6A-subchapII-partB-sec247d-6d.pdf,USCODE-2022-title42-chap6A-subchapII-partB-sec247d-6d.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/8adr2RlTKgfAjS1_aDvSUA/J25WbjNP6HZQH0w-Lj-y9soAEbSGjURdfGB4stYZg7-0TntlA1pOMLJMNGUrYoIF8aijyAMK0e8HHg2wIaLqc1547u5UkKAx9mJvLpjR4zW4XjuZ3xoOvT-Q8G6LAg8MuRbKWOB4eB-A6_PK-D9r-zcUyZYznDhv_aUDDQfO-6DVqkOcK_XbTaZbICzO9Z8a7hVbump-x6FKv6H_tncnzw/DcBxxyvAIY57G_7yp-PMjB7dLHNpSKD6kcXOcY7zHAs),3/27/20,12/30/05,Department of Health and Human Services,Health Emergency,Declaration of a Public Health Emergency,Domestic,No,Include,,,Scenario 2,,,,Not applicable,"This section outlines the actions that may be taken after the declaration of a Public Health Emergency by the Secretary. After such a declaration, the Secretary may require the manufacture, development, testing, distribution, administration, and use of medical countermeasures (MCM). The Secretary must describe the following in the declaration: (A) threats to health for which the MCM may be used, (B) period of time in which the declaration is in effect, (C) Population(s) for which the administration and/or use of MCM is applied, (D) geographic areas for which the declaration is in effect, and (E) specifications for distributing and obtaining the MCM. Importantly, there is a provision related to the Strategic National Stockpile (SNS), which requires that, if the MCM is included in the Secretary's declaration, the declaration shall include a period when the MCM is administered or used with respect to distribution and/or release from the SNS. ",,"Strategic National Stockpile,Provision of Supplies"
Presidential Policy Directive 2,,Presidential Directive,,Presidential Directive,Presidential Policy Directive 2,https://irp.fas.org/offdocs/ppd/ppd-2.pdf,ppd-2.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/SNdqe-4l5Z6XuCZfsQwkUA/5WW4vRslpore6ezFnvD84qQfw9_lVDU6qzz1FSieTLdX3igN9P5G6hZXl7CzXrxj7xGoVtt3rBlszKH7l1Y36iDj2-eRIS5jJ61Uooy2pdgxIXcWH79vkhRJ8x6nMrh0jBp1pecz3kd9jgp-B_kHjA/hEpmWzSAk-XMBk7xNKSFEHyG8N4HGRhNVyXrfdFr3AE),11/23/09,11/23/09,Department of Health and Human Services,No triggering event - Capacity Building,N/A,Domestic,Yes - Subject to Posse Comitatus,Include,,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",No,No,,Not applicable,"This directive outlines measures to implement the National Strategy for Countering Biological Threats. It includes requirements for executive agencies to develop an implementation plan, guidance on submitting budgets for programs and required annual reporting on progress toward strategy implementation. The directive also established an Interagency Policy Committee to oversee and coordinate implementation. ",,"Military Readiness,Mission Assignment/Response Coordination"
Executive Order 13909,,Executive Order,,Executive Order,Executive Order 13909,https://irp.fas.org/offdocs/eo/eo-13909.pdf,eo-13909.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/yfJEWIce0YWZdVB7gOR3vQ/RUSte1_BfvjBONbGKly-VcpW6dRdx3a8hL5A8ul0Sv6dv4TIcDihVTMemHmx1JCsMPMhrojO8nxlwqvEmhX6Uc6DcRZBeHweGZkzFDf2cCoGnV96THre2VQ27T-EDxLbMtDM4ZLqF8qqFQ2RIxC3OyZ-b7UqfUv9qo_HVb8WTzk/RKN2mdL27Czx1LnUMC-3Vqd80NJtRFtBoSSYp22FkbM),,3/18/20,Department of Health and Human Services,Health Emergency,COVID-19 pandemic,Domestic,No,Include,,,,,,,No,This EO invokes the Defense Production Act to allocate medical resources and ensure that necessary supplies are meeting the needs of the healthcare system. The goal is to support the national pandemic response.,,"Provision of Supplies,Strategic National Stockpile"
Presidential Directive 2022-07756,,Presidential Directive,,Presidential Directive,2022-07756,https://www.govinfo.gov/content/pkg/FR-2022-04-08/pdf/2022-07756.pdf,2022-07756.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/5RotFDavxHyV0vSRVpHVZw/a3zDkj4dRSDD_678SE4bgL6GfO_ySBJHzm9wCk-VOCSDoq9v43E-SwvsD4XU1g4hsQNwVKdjwdIqDYgYux9SQ3B1pMb7VZnGXEuYOKbKbcEJy3FYXpq43kVAUOeLVKPFf0t5iyqhHSk54RnB6ZtMlcPYVDRHZRqLBzXTKa097-8/_b3q5mp_IPU3iYE0XYxB7_E76V9Yy51mkl0Jp1gSHRo),,4/8/22,Department of Health and Human Services,No triggering event - Capacity Building,N/A,Domestic,No,Include,,,,,,,No,"This memorandum addresses long term affects of COVID-19, emphasizing the need for a comprehensive response. It delegates HHS to coordinate government-wide responses to the pandemic and calls for the development of a a National Research Action Plan on COVID long term and the fostering of new treatments and care models. It also emphasizes the need for support services and mental health care, and requires the HHS to publish a report on how the various federal agencies can offer support to those heavily impacted by the pandemic. ",,Response Leadership
Executive Order 13747,,Executive Order,,Executive Order,Executive Order 13747,https://www.govinfo.gov/content/pkg/DCPD-201600752/pdf/DCPD-201600752.pdf,DCPD-201600752.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/svqmu_FBm_D0PlNkLu7vwg/y09JQIhimjiulAtg9HBtrn1ZhmwQdXITu726CYTHu4sX4Qe0b0NIwDFCDHhmdqQgjqt_uMUGT8iG0xjoInEkuUb4tjIvQDId2c-BQ7-t-P1hietWuL3u3Rz_oQAikc1Xli0GMq_OwTnsd_eJrEQVjhskifp3YfRd4QWZurlRhA0/eH3iSugw8Or1jiDeWVth4K-rrKSqUqmJIHACy4UBMP8),11/4/16,11/4/16,"Department of State,Department of Defense,Department of Agriculture,Department of Homeland Security,Department of Health and Human Services",No triggering event - Capacity Building,N/A,Both,Yes,Include,,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",No,No,,Not applicable,"This EO establishes the Global Health Security Agenda (GHSA) as a central initiative to the United States' mission of enhancing global capacity to prevent, detect and respond to infectious disease threats. The order states that the Department of Health and Human Services (HHS) will coordinate US governmental efforts to implement GHSA, establishes an interagency review council for policy guidance and coordination and requires an annual report be submitted by the council to the President. The order emphasizes the importance of interagency, multi-sectoral and international collaborations. ",,Strategies and General Preparedness Efforts
Presidential Policy Directive 8,,FEMA DOLR,4,Executive Order,Presidential Policy Directive 8,https://www.dhs.gov/xlibrary/assets/presidential-policy-directive-8-national-preparedness.pdf,presidential-policy-directive-8-national-preparedness.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/O5pNAgoVaLU9fprcXOxIrQ/CF-5cTkmgNl-B717Bg3uuNYrave9ZC1Ffac_Sln0sSg4N_SiXzKbKwVeETT26xXRweG1wgnrUhRstRaQRYlxm6ExHYGmDfuMTuZ-bDVodlOUYzyVnrKR5f3qiSLuHLQNaUMrdvETnNHnSTnyzNzP3lzaN_pDAocXIgRvujsrXa1zJcnD6lhIgoxV0ZZoqycVX9IjzN44lgzlUCk-TF_WAw/eAM-4S-wkyE3uEqvoY4_ltTqImTAFE2ah051h3SOaNY),,3/30/11,"Department of Homeland Security,Federal Emergency Management Agency,Environmental Protection Agency,Department of Agriculture,Department of Defense,Department of Transportation,Department of Justice,Department of Health and Human Services","Health Emergency,Natural Disaster,Act of War,No triggering event - Capacity Building",This directive can be used to prepare for and recover from various public health emergencies and widespread attacks.,Domestic,Yes - Subject to Posse Comitatus,Include,,,,,,,No,"This directive strengthens the US security system against terrorism, health crises, natural disasters, and cybersecurity threats. Major agencies include DHS, HHS, and DOD, along with others that work to provide mitigation strategies. ",,"Mission Assignment/Response Coordination,Response Leadership,Military Readiness,Strategies and General Preparedness Efforts"
Homeland Security Presidential Directive 18,,Presidential Directive,,Presidential Directive,HSPD 18,https://www.govinfo.gov/content/pkg/PPP-2007-book1/pdf/PPP-2007-book1-doc-pg109.pdf,PPP-2007-book1-doc-pg109.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/UQmGN-98_XfqUaE63C13YQ/kK78v7tZwKaRWETqd8u9oatr6BudrabBnnKKP7TR_X60ifgZfmBvRP9A1JpX2w3PSBYSA537iFlkQWdyd8Q9a6hgHUYkF2LEk4fOst-WDthOjXGFsIbKSfPzb_pqvk8tzpK5Mf_S9aNkaNqDYMJS1puco0jA6VJ8aczpoTDBZgnUoXThfqGwH9EQiVXOraUI/jwBaZUB2TA_pW6TGBPx3RjGquu8SsUlmxWRQF-lUraA),,1/31/07,"Department of Homeland Security,Department of Defense,Department of Health and Human Services",No triggering event - Capacity Building,N/A,Both,Yes - Subject to Posse Comitatus,,,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",No,No,,Not applicable,"This directive explains the strategy for developing medical countermeasures to weapons of mass destruction. It recognizes the importance of CBRN threats, and establishes a coordinated framework for research and development efforts. It also calls for an interagency committee to advise the coordination and establishment of medical countermeasures.",,"Strategies and General Preparedness Efforts,Provision of Supplies,Research and Development"
